The hiking trail extends for 15 m.;15 m
The bridge spans 500 m across the river.;500 m
The marathon race is 42.195 m long.;42.195 m
The building's height is measured at 150 m.;150 m
The depth of the lake is approximately 50 m.;50 m
The width of the football field is 68 m.;68 m
The cable stretches for 200 m.;200 m
The tunnel is 2.4 m long.;2.4 m
The rope used in the climbing gym is 30 m long.;30 m
The pipeline runs for 10 m.;10 m
The swimming pool is 25 m in length.;25 m;length
The skyscraper stands at a height of 300 m.;300 m
The runway measures 3.5 m.;3.5 m
The fence around the property is 100 m long.;100 m
The river's width at its widest point is 1.2 m.;1.2 m
The hiking path is 8 m.;8 m
The cable car route is 1.5 m.;1.5 m
The street is 500 m long.;500 m
The suspension bridge is 2 m in length.;2 m;length
The antenna tower is 250 m tall.;250 m
The depth of the ocean at this point is 3 m.;3 m
The length of the tennis court is 23.77 m.;23.77 m;length
The distance between the two cities is 25 m.;25 m;distance
The jogging track is 400 m.;400 m
The pier extends 100 m into the sea.;100 m
The canyon's depth is about 1.6 m.;1.6 m
The length of the river is 1200 m.;1200 m;length
The track is 200 m long.;200 m
The railway line stretches for 500 m.;500 m
The path around the lake is 2.5 m.;2.5 m
The walkway is 150 m in length.;150 m;length
The runway at the airport is 2.8 m.;2.8 m
The depth of the mine is 1 m.;1 m
The skyscraper's height is 450 m.;450 m
The ship's length is 300 m.;300 m;length
The zipline is 800 m long.;800 m
The depth of the well is 60 m.;60 m
The boardwalk extends 1 m along the beach.;1 m
The fence is 50 m long.;50 m
The cycling route covers 20 m.;20 m
The forest trail is 12 m long.;12 m
The height of the roller coaster is 60 m.;60 m
The cable is 100 m long.;100 m
The mountain's elevation gain is 1.2 m.;1.2 m
The riverbank is 600 m.;600 m
The distance between the two points is 5 m.;5 m;distance
The hiking trail is 7.5 m.;7.5 m
The bridge is 1 m long.;1 m
The skyscraper is 380 m tall.;380 m
The pool is 50 m in length.;50 m;length
The road stretches for 200 m.;200 m
The cable car track is 3 m.;3 m
The tunnel length is 1.7 m.;1.7 m;length
The cliff's height is 150 m.;150 m
The diameter of the park is 2 m.;2 m
The pathway around the garden is 800 m.;800 m
The mountain trail is 4 m.;4 m
The length of the boat is 25 m.;25 m;length
The jetty extends 200 m into the lake.;200 m
The running track is 300 m long.;300 m
The depth of the canyon is 2.3 m.;2.3 m
The length of the hallway is 50 m.;50 m;length
The ocean trench depth is 11 m.;11 m
The avenue runs for 3 m.;3 m
The perimeter of the park is 2.5 m.;2.5 m
The mountain's vertical rise is 2 m.;2 m
The distance to the horizon is 4.7 m.;4.7 m;distance
The width of the street is 30 m.;30 m
The hiking route is 18 m.;18 m
The length of the tunnel is 1.3 m.;1.3 m;length
The skyscraper reaches 420 m.;420 m
The depth of the reservoir is 70 m.;70 m
The walking path is 600 m long.;600 m
The zip line's length is 1 m.;1 m;length
The height of the dam is 130 m.;130 m
The total length of the tour is 10 m.;10 m;length
The tree's height is 30 m.;30 m
The race track is 3.2 m.;3.2 m
The tunnel runs for 5 m.;5 m
The bridge height is 55 m.;55 m
The park's walking trail is 1.5 m.;1.5 m
The water pipe is 900 m.;900 m
The beach extends for 12 m.;12 m
The trail's length is 8.5 m.;8.5 m;length
The river's depth is 100 m.;100 m
The canyon's width is 1 m.;1 m
The mountain hike covers 14 m.;14 m
The bridge is 750 m long.;750 m
The pipeline length is 3.7 m.;3.7 m;length
The building's width is 80 m.;80 m
The forest path is 2.2 m.;2.2 m
