The event signal duration is recorded as 1/60 s.;1/60 s
A user registered the oscillation period at 1/50 s.;1/50 s
The action move motor operates with a period of 1/120 s.;1/120 s
The Property tuning fork resonates with a period of 1/440 s.;1/440 s
The WoT property ultrasound functions with a period of 0.5 s.;0.5 s
The processor has a clock period of 1/3 s.;1/3 s
The audio sample period is specified as approximately 0.023 s.;0.023 s
Radio waves detected have a period of approximately 0.011 s.;0.011 s
The property fan speed can be adjusted to a period as low as 1/150 s.;1/150 s
The sensor read property 'read' updates its data every 0.1 s.;0.1 s
The device operates with a maximum period of approximately 0.0033 s.;0.0033 s
The microwave oven emits waves with a period of approximately 0.408 s.;0.408 s
The musical note's frequency property corresponds to a period of approximately 0.0019 s.;0.0019 s
His heart rate was monitored with a period of approximately 0.013 s using a WoT read Property.;0.013 s
The seismic activity was recorded with a period of 2 s.;2 s
The light source Thing has the action 'flicker' that occurs every 1/120 s.;1/120 s
The electronic component oscillates with a period of 1 s.;1 s
Event data in s per cycle.;s
A camera Thing captures images every 1/24 s.;1/24 s
The generator produces a signal every 1/400 s.;1/400 s
The measurement collected by the WoT event read corresponds to a period of 0.01 s.;0.01 s
The property has been calibrated to a period of 1/250 s.;1/250 s
The waveform's period is recorded as 0.1 s.;0.1 s
The signal amplification was done at a period of 0.002 s.;0.002 s
The experiment's period was set to 1/60 s.;1/60 s
The wave period was noted at approximately 0.067 s.;0.067 s
The transmission period was adjusted to approximately 0.0011 s.;0.0011 s
The electrical current alternates with a period of 1/60 s.;1/60 s
The metronome ticks with a period of 1/120 s.;1/120 s
The robot Thing uses the robotic arm action 'move' with a period of 0.5 s.;0.5 s
The data logger records data every 1 s.;1 s
The RF signal is transmitted with a period of approximately 0.0012 s.;0.0012 s
The resonant frequency of the device is determined to have a period of 0.2 s.;0.2 s
A laboratory equipment functions with a period of 0.01 s.;0.01 s
The broadcast period is set to approximately 0.0101 s.;0.0101 s
The pressure sensor updates its readings every 0.04 s.;0.04 s
Data in s per cycle.;s
The frequency counter reads a value corresponding to a period of approximately 0.667 s.;0.667 s
The action can handle periods up to 0.125 s.;0.125 s
The machine's vibration period is approximately 0.022 s.;0.022 s
The recording device samples at a period of approximately 0.0104 s.;0.0104 s
A synthesizer produces tones with a period of approximately 0.0023 s.;0.0023 s
The sensor period is adjustable up to 0.01 s.;0.01 s
The satellite transmits signals with a period of 0.5 s.;0.5 s
The mechanical oscillator works with a period of approximately 0.083 s.;0.083 s
The frequency spectrum ranges up to a period of 0.05 s.;0.05 s
The microcontroller operates with a period of approximately 0.063 s.;0.063 s
The electrical signal alternates with a period of 0.02 s.;0.02 s
The wireless network operates with a period of approximately 0.417 s.;0.417 s
A signal generator produces waves with a period of 1/60 s.;1/60 s
The Web of Things property period is approximately 0.03 s.;0.03 s
The audio property in s per cycle.;s
The oscillation period is recorded at 0.25 s.;0.25 s
The radar WoT property typically operates with a period of 0.1 s.;0.1 s
The light pulse period is noted at 1 s.;1 s
The heartbeat sensor operates with a period of approximately 0.0125 s.;0.0125 s
The RF module transmits with a period of approximately 0.0023 s.;0.0023 s
The LEDs action 'blink' invokes a blink every 1 s.;1 s
The magnetic field period is approximately 0.017 s.;0.017 s
The oscillator circuit operates with a period of approximately 0.333 s.;0.333 s
The property in s per timing.;s
The sound action 'frequency' can handle periods as short as 0.001 s.;0.001 s
The signal is filtered with a period of 0.0083 s.;0.0083 s
The electronic clock pulses every 0.031 s.;0.031 s
An alternating current period is 0.02 s.;0.02 s
The transmitter sends signals with a period of approximately 0.0011 s.;0.0011 s
The photodiode responds with a period of 0.025 s.;0.025 s
The modulation period is 0.125 s.;0.125 s
The CPU operates at a period of approximately 0.286 s.;0.286 s
The servo motor updates with a period of 0.02 s.;0.02 s
The radio operates with a period of approximately 0.0093 s.;0.0093 s
The accelerometer samples data every 0.01 s.;0.01 s
A carrier period is set to approximately 0.037 s.;0.037 s
The sound period is approximately 0.063 s.;0.063 s
A wireless communication module operates with a period of approximately 0.4 s.;0.4 s
The frequency readout displays a period of 1/60 s.;1/60 s
A sensor can detect periods up to 1 s.;1 s
The ultrasonic sensor works with a period of 0.025 s.;0.025 s
The heart rate monitor measures with a period of approximately 0.667 s.;0.667 s
The signal processor works with a period of 0.5 s.;0.5 s
The radio period is tuned to approximately 0.0106 s.;0.0106 s
The device measures vibrations with a period of 0.002 s.;0.002 s
The frequency analyzer displays a period of approximately 0.143 s.;0.143 s
The WoT event period is typically 1 s.;1 s
The crystal oscillator runs with a period of 0.063 s.;0.063 s
The signal is generated with a period of 0.05 s.;0.05 s
The period is measured at 1/60 s.;1/60 s
A monitor outputs with a period of 1/120 s.;1/120 s
The TV operates with a period of approximately 0.0133 s.;0.0133 s
Visible light has a period of approximately 0.0029 s.;0.0029 s
A radio can detect periods up to 0.2 s.;0.2 s
The lab instrument measures with a period of 0.005 s.;0.005 s
The music player outputs with a period of approximately 0.031 s.;0.031 s
The RF transmitter operates with a period of approximately 0.556 s.;0.556 s
